sentence,difficulty
"1 I La fin d’un discours très applaudi  Présentation du docteur Samuel Fergusson  « Excelsior »  Portrait en pied du docteur  Un fataliste convaincu  Dîner au « Traveller’s club »  Nombreux toasts de circonstance Il y avait une grande affluence d’auditeurs, le 14 janvier 1862, à la séance de la Société royale géographique de Londres, Waterloo place, 3.",B1
"Le président, Sir Francis M…, faisait à ses honorables collègues une importante communication dans un discours fréquemment interrompu par les applaudissements.",B1
"Le docteur Samuel Fergusson, l’un de ses glorieux enfants, ne faillira pas à son origine.",B1
"fit l’assemblée, électrisée par ces émouvantes paroles.",B1
 Hourra pour l’intrépide Fergusson !,B1
» s’écria l’un des membres les plus expansifs de l’auditoire.,B1
Des cris enthousiastes retentirent.,B1
"Le nom de Fergusson éclata dans toutes les bouches, et nous sommes fondés à croire qu’il gagna singulièrement à passer par des gosiers anglais.",B1
La salle des séances en fut ébranlée.,B1
"Ils étaient là pourtant, nombreux, vieillis, fatigués, ces intrépides voyageurs que leur tempérament mobile promena dans les cinq parties du monde !",B1
"Tous, plus ou moins, physiquement ou moralement, ils avaient échappé aux naufrages, aux incendies, aux tomahawks de l’Indien, aux casse-tête des sauvages, au poteau du supplice, aux estomacs de la Polynésie !",B1
"Mais rien ne put comprimer les battements de leurs cœurs pendant le discours de Sir Francis M…, et, de mémoire humaine, ce fut là certainement le plus beau succès oratoire de la Société royale géographique de Londres.",B1
"2 Mais, en Angleterre, l’enthousiasme ne s’en tient pas seulement aux paroles.",B1
Il bat monnaie plus rapidement encore que le balancier de « the Royal Mint.,B1
"» Une indemnité d’encouragement fut votée, séance tenante, en faveur du docteur Fergusson, et s’éleva au chiffre de deux mille cinq cents livres.",B1
L’importance de la somme se proportionnait à l’importance de l’entreprise.,B1
L’un des membres de la Société interpella le président sur la question de savoir si le docteur Fergusson ne serait pas officiellement présenté.,B1
"« Le docteur se tient à la disposition de l’assemblée, répondit Sir Francis M…  Qu’il entre !",B1
"s’écria-t-on, qu’il entre !",B1
Il est bon de voir par ses propres yeux un homme d’une audace aussi extraordinaire !,B1
" Peut-être cette incroyable proposition, dit un vieux commodore apoplectique, n’a-t-elle eu d’autre but que de nous mystifier !",B1
 Et si le docteur Fergusson n’existait pas !,B1
cria une voix malicieuse.,B1
" Il faudrait l’inventer, répondit un membre plaisant de cette grave Société.",B1
" Faites entrer le docteur Fergusson », dit simplement Sir Francis M… Et le docteur entra au milieu d’un tonnerre d’applaudissements, pas le moins du monde ému d’ailleurs.",B1
"C’était un homme d’une quarantaine d’années, de taille et de constitution ordinaires ; son tempérament sanguin se trahissait par une coloration foncée du visage ; il avait une figure froide, aux traits réguliers, avec un nez fort, le nez en proue de vaisseau de l’homme prédestiné aux découvertes ; ses yeux fort doux, plus intelligents que hardis, donnaient un grand charme à sa physionomie ; ses bras étaient longs, et ses pieds se posaient à terre avec l’aplomb du grand marcheur.",B1
"La gravité calme respirait dans toute la personne du docteur, et l’idée ne venait pas à l’esprit qu’il put être l’instrument de la plus innocente mystification.",B1
"Aussi, les hourras et les applaudissements ne cessèrent qu’au moment où le docteur Fergusson réclama le silence par un geste aimable.",B1
"Il se dirigea vers le fauteuil préparé pour sa présentation ; puis, debout, fixe, le regard énergique, il leva vers le ciel l’index de la main droite, ouvrit la bouche et prononça ce seul mot : « Excelsior !",B1
» Non !,B1
jamais interpellation inattendue de MM.,B1
"Bright et Cobden, jamais demande de fonds extraordinaires de lord Palmerston pour cuirasser les rochers de l’Angleterre, n’obtinrent un pareil succès.",B1
"Le discours de Sir Francis M… était dépassé, et de haut.",B1
"Le docteur se montrait à la fois sublime, grand, sobre et mesuré ; il avait dit le mot de la situation :",B1
3 « Excelsior !,B1
"» Le vieux commodore, complètement rallié à cet homme étrange, réclama l’insertion « intégrale » du discours Fergusson dans the Proceedings of the Royal Geographical Society of London.",B1
"Qu’était donc ce docteur, et à quelle entreprise allait-il se dévouer ?",B1
"Le père du jeune Fergusson, un brave capitaine de la marine anglaise, avait associé son fils, dès son plus jeune âge, aux dangers et aux aventures de sa profession.",B1
"Ce digne enfant, qui paraît n’avoir jamais connu la crainte, annonça promptement un esprit vif, une intelligence de chercheur, une propension remarquable vers les travaux scientifiques ; il montrait, en outre, une adresse peu commune à se tirer d’affaire ; il ne fut jamais embarrassé de rien, pas même de se servir de sa première fourchette, à quoi les enfants réussissent si peu en général.",B1
"Bientôt son imagination s’enflamma à la lecture des entreprises hardies, des explorations maritimes ; il suivit avec passion les découvertes qui signalèrent la première partie du XIXe siècle ; il rêva la gloire des Mungo- Park, des Bruce, des Caillié, des Levaillant, et même un peu, je crois, celle de Selkirk, le Robinson Crusoé, qui ne lui paraissait pas inférieure.",B1
Que d’heures bien occupées il passa avec lui dans son île de Juan Fernandez !,B1
"Il approuva souvent les idées du matelot abandonné ; parfois il discuta ses plans et ses projets ; il eût fait autrement, mieux peut-être, tout aussi bien, à coup sûr !",B1
"Mais, chose certaine, il n’eût jamais fui cette bienheureuse île, où il était heureux comme un roi sans sujets… ; non, quand il se fût agi de devenir premier lord de l’amirauté !",B1
Je vous laisse à penser si ces tendances se développèrent pendant sa jeunesse aventureuse jetée aux quatre coins du monde.,B1
"Son père, en homme instruit, ne manquait pas d’ailleurs de consolider cette vive intelligence par des études sérieuses en hydrographie, en physique et en mécanique, avec une légère teinture de botanique, de médecine et d’astronomie.",B1
"À la mort du digne capitaine, Samuel Fergusson, âgé de vingt-deux ans, avait déjà fait son tour du monde ; il s’enrôla dans le corps des ingénieurs bengalais, et se distingua en plusieurs affaires ; mais cette existence de soldat ne lui convenait pas ; se souciant peu de commander, il n’aimait pas à obéir.",B1
"Il donna sa démission, et, moitié chassant, moitié herborisant, il remonta vers le nord de la péninsule indienne et la traversa de Calcutta à Surate.",B1
Une simple promenade d’amateur.,B1
"De Surate, nous le voyons passer en Australie, et prendre part en 1845 à l’expédition du capitaine Sturt, chargé de découvrir cette mer Caspienne que l’on suppose exister au centre de la Nouvelle-Hollande.",B1
"Samuel Fergusson revint en Angleterre vers 1850, et, plus que jamais possédé du démon des découvertes, il accompagna jusqu’en 1853 le",B1
4 capitaine Mac Clure dans l’expédition qui contourna le continent américain du détroit de Behring au cap Farewel.,B1
"En dépit des fatigues de tous genres, et sous tous les climats, la constitution de Fergusson résistait merveilleusement ; il vivait à son aise au milieu des plus complètes privations ; c’était le type du parfait voyageur, dont l’estomac se resserre ou se dilate à volonté, dont les jambes s’allongent ou se raccourcissent suivant la couche improvisée, qui s’endort à toute heure du jour et se réveille à toute heure de la nuit.",B1
"Rien de moins étonnant, dès lors, que de retrouver notre infatigable voyageur visitant de 1855 à 1857 tout l’ouest du Tibet en compagnie des frères Schlagintweit, et rapportant de cette exploration de curieuses observations d’ethnographie.",B1
"Pendant ces divers voyages, Samuel Fergusson fut le correspondant le plus actif et le plus intéressant du Daily Telegraph, ce journal à un penny, dont le tirage monte jusqu’à cent quarante mille exemplaires par jour, et suffit à peine à plusieurs millions de lecteurs.",B1
