sentence,difficulty
"s’écria l’un des convives, accoudé sur le bras de son siège à dossier de marbre, en grignotant une racine de nénuphar au sucre.",B1
 Et du mauvais aussi !,B1
"répondit, entre deux quintes de toux, un autre, que le piquant d’un délicat aileron de requin avait failli étrangler !",B1
 Soyons philosophes !,B1
"dit alors un personnage plus âgé, dont le nez supportait une énorme paire de lunettes à larges verres, montées sur tiges de bois.",B1
"Aujourd’hui, on risque de s’étrangler, et demain tout passe comme passent les suaves gorgées de ce nectar !",B1
"C’est la vie, après tout !",B1
"» Et cela dit, cet épicurien, d’humeur accommodante, avala un verre d’un excellent vin tiède, dont la légère vapeur s’échappait lentement d’une théière de métal.",B1
"« Quant à moi, reprit un quatrième convive, l’existence me paraît très acceptable, du moment qu’on ne fait rien et qu’on a le moyen de ne rien faire !",B1
riposta le cinquième.,B1
Le bonheur est dans l’étude et le travail.,B1
"Acquérir la plus grande somme possible de connaissances, c’est chercher à se rendre heureux !…  Et à apprendre que, tout compte fait, on ne sait rien !",B1
 N’est-ce pas le commencement de la sagesse ?,B1
 Et quelle en est la fin ?,B1
 La sagesse n’a pas de fin !,B1
répondit philosophiquement l’homme aux lunettes.,B1
Avoir le sens commun serait la satisfaction suprême !,B1
"» Ce fut alors que le premier convive s’adressa directement à l’amphitryon, qui occupait le haut bout de la table, c’est-à-dire la",B1
"2 plus mauvaise place, ainsi que l’exigeaient les lois de la politesse.",B1
"Indifférent et distrait, celui-ci écoutait sans rien dire toute cette dissertation inter pocula.",B1
« Voyons !,B1
Que pense notre hôte de ces divagations après boire ?,B1
Trouve-t-il aujourd’hui l’existence bonne ou mauvaise ?,B1
Est-il pour ou contre ?,B1
"» L’amphitryon croquait nonchalamment quelques pépins de pastèques ; il se contenta, pour toute réponse, d’avancer dédaigneusement les lèvres, en homme qui semble ne prendre intérêt à rien.",B1
« Peuh !,B1
"C’est, par excellence, le mot des indifférents.",B1
Il dit tout et ne dit rien.,B1
"Il est de toutes les langues, et doit figurer dans tous les dictionnaires du globe.",B1
C’est une « moue » articulée.,B1
"Les cinq convives que traitait cet ennuyé le pressèrent alors d’arguments, chacun en faveur de sa thèse.",B1
On voulait avoir son opinion.,B1
"Il se défendit d’abord de répondre, et finit par affirmer que la vie n’avait ni bon ni mauvais.",B1
"À son sens, c’était une « invention » assez insignifiante, peu réjouissante en somme !",B1
« Voilà bien notre ami !,B1
" Peut-il parler ainsi, lorsque jamais un pli de rose n’a encore troublé son repos !",B1
 Et quand il est jeune !,B1
 Jeune et bien portant !,B1
 Bien portant et riche !,B1
 Très riche !,B1
 Plus que très riche !,B1
 Trop riche peut-être !,B1
