sentence,difficulty
"Telle est la suscription de la dépêche que je trouvai le 13 mai, en arrivant à Tiflis.",C1
Voici le texte de cette dépêche : Toute affaire cessante à la date du 15 courant Claudius Bombarnac se trouvera au port Ouzoun-Ada littoral est de Caspienne.,C1
Là prendra train direct Grand-Transasiatique entre frontière Europe et capitale Céleste-Empire Devra transmettre impressions sous forme chroniques interviewer personnages marquants rencontrés sur parcours signaler moindres incidents par lettres ou télégrammes suivant nécessités de bon reportage.,C1
XXe Siècle compte sur zèle intelligence activité adresse de son correspondant auquel il ouvre crédit illimité.,C1
"Or, c’était le matin même que je venais d’arriver à Tiflis, ayant l’intention d’y passer trois semaines, puis de visiter les provinces de la Géorgie pour le profit de mon journal, et, je l’espérais, pour celui de ses lecteurs.",C1
"Voilà les inattendus, les aléas de l’existence d’un reporter ambulant !",C1
"À cette époque, les railways russes étaient reliés à la ligne géorgienne de Poti-Tiflis-Bakou.",C1
"Après un long et intéressant trajet à travers les provinces de la Russie méridionale, j’avais franchi le Caucase et je comptais bien me reposer dans la capitale de la Transcaucasie… Et voici que cette impérieuse administration du XXe Siècle ne m’accordait qu’une demi-journée de halte dans cette ville !",C1
"À peine débarqué, j’allais être obligé de repartir sans avoir eu le temps de déboucler ma valise !",C1
Que voulez-vous ?,C1
"Il faut bien satisfaire aux exigences du reportage, aux nécessités si modernes de l’interview !",C1
"J’étais studieusement préparé, pourtant, largement approvisionné de documents géographiques et ethnologiques, relatifs à la région transcaucasienne.",C1
"Donnez-vous donc la peine d’apprendre que le bonnet de fourrure en forme de turban, dont se coiffent les montagnards et les Cosaques, s’appelle « papakha », que la redingote froncée à la taille, où s’accrochent les cartouchières latérales, est nommée « tcherkeska » par les",C1
2 uns et « bechmet » par les autres !,C1
"Soyez donc en mesure d’affirmer que le Géorgien et l’Arménien se coiffent de la toque en pain de sucre, que les marchands revêtent la « touloupa », sorte de pelisse en peau de mouton, que le Kurde ou le Parsi portent encore la « bourka », manteau en tissu pelucheux, rendu imperméable par son apprêt !",C1
"Et la coiffure des belles Géorgiennes, le « tassakravi », composé d’un léger ruban, d’un voile laine, d’une mousseline, qui encadre de si jolis visages, et leurs robes aux couleurs éclatantes, aux manches largement ouvertes, leurs vêtements de dessous noués à la taille, leur surtout d’hiver en velours garni de fourrure et d’orfèvrerie aux brandebourgs, leur mantille d’été en cotonnade blanche, le « tchadré », qu’elles serrent étroitement du coude,  toutes ces modes, enfin, si soigneusement notées sur mon carnet de reporter, qu’en dirai-je maintenant ?",C1
"Ayez donc appris que les orchestres nationaux se composent de « zournas », qui sont des flûtes aigres, de « salamouris », qui sont des clarinettes criardes, de mandolines à cordes de cuivre pincées avec une plume, de « tchianouris », violons dont on joue verticalement, de « dimplipitos », espèces de cymbales, qui crépitent comme la grêle sur les carreaux de vitre !",C1
"Ayez donc appris que le « schaska » est un sabre suspendu à une bandoulière agrémentée de clous et de broderies d’argent, que le « kindjall » ou « kandjiar » est un poignard passé à la ceinture, que l’armement des soldats du Caucase se complète d’un long fusil à canon de Damas, relevé de capucines en métal ciselé !",C1
"Ayez donc appris que le « tarantass » est une sorte de berline, reposant sur cinq pièces de bois assez élastiques, entre des roues largement espacées et de moyenne hauteur, que cette voiture est conduite par un « yemtchik », juché sur le siège de devant, tenant en guides trois chevaux, auquel se joint un second postillon, le « falètre », lorsqu’il est nécessaire de prendre un quatrième cheval chez le « smatritel », qui est le maître de poste des routes caucasiennes !",C1
"Ayez donc appris que la verste vaut un kilomètre soixante-sept mètres, que les diverses populations nomades des gouvernements de la Transcaucasie se décomposent ainsi par familles : Kalmouks, descendants des Éleuthes, quinze mille ; Kirghizes, d’origine musulmane, huit mille ; Tartares de Koundrof, onze cents ; Tartares de Sartof, cent douze ; Nogaïs, huit mille cinq cents ; Turkomans, près de quatre mille !",C1
"Ainsi, après avoir si minutieusement « potassé » ma Géorgie, voici qu’un ukase m’oblige à l’abandonner !",C1
"Et je n’aurai pas même le temps de visiter le mont Ararat, à l’endroit où s’est arrêtée, au quarantième jour du déluge, l’arche de Noé, ce chaland primitif de l’illustre patriarche !",C1
"3 faudra renoncer à publier mes impressions d’un voyage en Transcaucasie, perdre mille lignes de copie, à tout le moins, et pour lesquelles j’avais à ma disposition les trente-deux mille mots de notre langue, actuellement reconnus par l’Académie Française !… C’est dur, mais il n’y a pas à discuter.",C1
"Et tout d’abord, à quelle heure part le train de Tiflis pour la Caspienne ?",C1
"La gare de Tiflis est le point de jonction de trois lignes de chemins de fer : la ligne de l’ouest, qui se termine à Poti, sur la mer Noire, port où débarquent les passagers qui arrivent d’Europe ; la ligne de l’est, qui s’arrête à Bakou, où s’embarquent les passagers qui doivent traverser la Caspienne ; la ligne enfin que les Russes venaient de jeter sur une longueur de cent soixante-quatre kilomètres, entre la Circaucasie et la Transcaucasie, de Vladikarkaz à Tiflis, en traversant le col d’Arkhot, à quatre mille cinq cents pieds d’altitude, et qui rattache la capitale géorgienne aux railways de la Russie méridionale.",C1
"Je me rends à la gare, tout courant, et me précipite vers la salle de départ.",C1
« À quelle heure le train pour Bakou ?,C1
 Vous allez à Bakou ?,C1
» répond l’employé.,C1
Et il me jette par son guichet ce regard plus militaire que civil qui brille invariablement sous la visière des casquettes moscovites.,C1
"« Je pense, dis-je, peut-être un peu trop vivement, qu’il n’est pas défendu d’aller à Bakou ?…  Non, me réplique-t-on d’un ton sec, à condition que l’on soit muni d’un passeport régulier.",C1
" J’aurai un passeport régulier, » ripostai-je à ce fonctionnaire farouche, qui, comme tous ceux de la Sainte Russie, me paraît doublé d’un gendarme.",C1
Puis je me borne à redemander quelle est l’heure du départ du train pour Bakou.,C1
« Six heures du soir.,C1
