sentence,difficulty
"La vérité oblige à dire que ces bouteilles ne contiennent que de l’huile de foie de morue, médicament estimable et même bienfaisant, qui, pour les habitants de la Norvège, représente tous les ans, en kroners ou « couronnes » de la valeur d’un franc trente-neuf centimes, des totaux de sept à huit chiffres.",B2
Jadis cette fabrication était aux mains des pêcheurs.,B2
"Aujourd’hui les procédés d’extraction sont plus scientifiques, et le prince de cette industrie spéciale est précisément le célèbre docteur Schwaryencrona.",B2
"Il n’est personne qui n’ait remarqué cette barbe en pointe, cette paire de lunettes, ce nez crochu et ce bonnet de loutre.",B2
"La gravure n’est peut-être pas des plus fines, mais il est certain qu’elle est d’une ressemblance frappante.",B2
"À preuve ce qui arriva un jour dans l’école primaire de Noroë, sur la côte occidentale de Norvège, à quelques lieues de Bergen.",B2
Deux heures après midi venaient de sonner.,B2
"Les élèves étaient en classe dans la grande salle sablée,  les filles à gauche et les garçons à droite,  occupés à suivre au tableau noir la démonstration d’une théorie que leur faisait le maître, M. Malarius, quand soudain la porte s’ouvrit, et une pelisse fourrée, bottes fourrées, gants fourrés, bonnet de loutre, se présenta sur le seuil.",B2
"Aussitôt les élèves de se lever avec respect, comme il convient lorsqu’un visiteur pénétra dans une classe.",B2
6 d’eux n’avait jamais vu le nouveau venu.,B2
"Tous, pourtant, ils chuchotèrent en l’apercevant : « M. le docteur Schwaryencrona !",B2
» Tant était grande la ressemblance du portrait gravé sur les bouteilles du docteur !,B2
"Il faut dire que les élèves de M. Malarius avaient à peu près constamment ces bouteilles sous les yeux, par la raison que l’une des principales usines du docteur se trouve précisément établie à Noroë.",B2
"Mais enfin il n’en est pas moins vrai que, depuis des années, le savant homme n’avait pas mis le pied dans le pays, et que pas un des enfants ne pouvait se flatter jusqu’à ce jour de l’avoir aperçu en chair et en os.",B2
"En imagination, c’était une autre affaire.",B2
On parlait beaucoup du docteur Schwaryencrona aux veillées de Noroë.,B2
"Et les oreilles lui auraient tinté souvent, si le préjugé populaire avait le moindre fondement à cet égard.",B2
"Quoi qu’il on soit, cette reconnaissance aussi unanime que spontanée constituait un véritable triomphe pour l’auteur inconnu du portrait,  triomphe dont cet artiste modeste aurait eu le droit d’être fier, et plus, d’un photographe à la mode le droit d’être jaloux.",B2
"Oui, c’étaient bien là, évidemment, la barbe en pointe, la paire de lunettes, le nez crochu et le bonnet de loutre du fameux savant.",B2
Il n’y avait pas d’erreur ni de confusion possible.,B2
Tous les élèves de M. Malarius en auraient mis la main au feu.,B2
"Ce qui les étonnait et même les désappointait un peu, c’était de trouver dans le docteur un homme de taille ordinaire et moyenne, au lieu du géant qu’ils auraient plutôt imaginé.",B2
Comment un savant aussi illustre pouvait-il se contenter d’une stature de cinq pieds trois pouces ?,B2
À peine sa tête grise arrivait- elle à l’épaule de M. Malarius.,B2
"Et pourtant, M. Malarius était déjà voûté par l’âge.",B2
"Mais il était bien plus maigre que le docteur, ce qui le faisait paraître deux fois plus grand.",B2
"Sa vaste houppelande marron, à laquelle un long usage avait donné des tons verdâtres, flottait sur lui comme un drapeau sur sa hampe.",B2
"Il était en culottes courtes et souliers à boucles, avec un bonnet de soie noire d’où s’échappaient quelques mèches",B2
7 de cheveux blancs.,B2
Sa figure rose et souriante respirait la douceur la plus parfaite.,B2
"Lui aussi, il portait des lunettes, qui ne vous transperçaient pas comme celles du docteur, et à travers lesquelles ses yeux bleus semblaient contempler toutes choses avec une bienveillance inépuisable.",B2
"De mémoire d’écolier, M. Malarius n’avait puni un de ses élèves.",B2
Ce qui ne l’empêchait pas d’être respecté à force d’être aimé.,B2
"C’était un si brave cœur, et tout le monde le savait si bien !",B2
"On n’ignorait pas, à Noroë, qu’en sa jeunesse, il avait passé de brillants examens, et que, lui aussi, il aurait pu prendre des grades, devenir herr professor dans une grande université, conquérir honneurs et fortune.",B2
"Mais il avait une sœur, la pauvre Kristina, toujours malade et souffreteuse.",B2
"Et, comme elle n’aurait voulu pour rien au monde quitter son village, comme elle avait peur de la ville et craignait d’y mourir, M. Malarius s’était tout doucement sacrifié.",B2
