sentence,difficulty
1 PARTIE I Les naufragés de l’air,B2
2 Chapitre I L’ouragan de 1865.,B2
 Cris dans les airs.,B2
 Un ballon emporté dans une trombe.,B2
 Rien que la mer en vue.,B2
 Ce qui se passe dans la nacelle.,B2
 Une côte à l’horizon.,B2
 Le dénouement du drame.,B2
« Remontons-nous ?,B2
Au contraire !,B2
Nous descendons !,B2
" Pis que cela, monsieur Cyrus !",B2
Nous tombons !,B2
 Pour Dieu !,B2
Jetez du lest !,B2
 Voilà le dernier sac vidé !,B2
 Le ballon se relève-t-il ?,B2
 J’entends comme un clapotement de vagues !,B2
 La mer est sous la nacelle !,B2
 Elle ne doit pas être à cinq cents pieds de nous !,B2
"» Alors une voix puissante déchira l’air, et ces mots retentirent : « Dehors tout ce qui pèse !… tout !",B2
et à la grâce de Dieu !,B2
"» Telles sont les paroles qui éclataient en l’air, au-dessus de ce vaste désert d’eau du Pacifique, vers quatre heures du soir, dans la journée du 23 mars 1865.",B2
"Personne n’a sans doute oublié le terrible coup de vent de nord-est qui se déchaîna au milieu de l’équinoxe de cette année, et pendant lequel le baromètre tomba à sept cent dix millimètres.",B2
"Ce fut un ouragan, sans intermittence, qui dura du 18 au 26 mars.",B2
"Les ravages qu’il produisit furent immenses en Amérique, en Europe, en Asie, sur une zone large de dix-huit cents milles, qui se dessinait obliquement à l’équateur, depuis le trente-cinquième parallèle nord jusqu’au quarantième parallèle sud !",B2
"Villes renversées, forêts déracinées, rivages dévastés par des montagnes d’eau qui se précipitaient comme des mascarets, navires jetés à la côte, que les relevés du Bureau-Veritas chiffrèrent par centaines, territoires entiers nivelés par des trombes qui broyaient tout sur leur passage, plusieurs milliers de personnes écrasées sur terre ou englouties en mer : tels furent les témoignages de sa fureur, qui furent laissés après lui par ce formidable ouragan.",B2
"Il dépassait en désastres ceux qui ravagèrent si épouvantablement la Havane et la Guadeloupe, l’un le 25 octobre 1810, l’autre le 26 juillet 1825.",B2
"3 Or, au moment même où tant de catastrophes s’accomplissaient sur terre et sur mer, un drame, non moins saisissant, se jouait dans les airs bouleversés.",B2
"En effet, un ballon, porté comme une boule au sommet d’une trombe, et pris dans le mouvement giratoire de la colonne d’air, parcourait l’espace avec une vitesse de quatre-vingt-dix milles à l’heure, en tournant sur lui- même, comme s’il eût été saisi par quelque maelström aérien.",B2
"Au-dessous de l’appendice inférieur de ce ballon oscillait une nacelle, qui contenait cinq passagers, à peine visibles au milieu de ces épaisses vapeurs, mêlées d’eau pulvérisée, qui traînaient jusqu’à la surface de l’Océan.",B2
"D’où venait cet aérostat, véritable jouet de l’effroyable tempête ?",B2
De quel point du monde s’était-il élancé ?,B2
Il n’avait évidemment pas pu partir pendant l’ouragan.,B2
"Or, l’ouragan durait depuis cinq jours déjà, et ses premiers symptômes s’étaient manifestés le 18.",B2
"On eût donc été fondé à croire que ce ballon venait de très loin, car il n’avait pas dû franchir moins de deux mille milles par vingt-quatre heures ?",B2
"En tout cas, les passagers n’avaient pu avoir à leur disposition aucun moyen d’estimer la route parcourue depuis leur départ, car tout point de repère leur manquait.",B2
"Il devait même se produire ce fait curieux, qu’emportés au milieu des violences de la tempête, ils ne les subissaient pas.",B2
"Ils se déplaçaient, ils tournaient sur eux-mêmes sans rien ressentir de cette rotation, ni de leur déplacement dans le sens horizontal.",B2
Leurs yeux ne pouvaient percer l’épais brouillard qui s’amoncelait sous la nacelle.,B2
"Autour d’eux, tout était brume.",B2
"Telle était même l’opacité des nuages, qu’ils n’auraient pu dire s’il faisait jour ou nuit.",B2
"Aucun reflet de lumière, aucun bruit des terres habitées, aucun mugissement de l’Océan n’avaient dû parvenir jusqu’à eux dans cette immensité obscure, tant qu’ils s’étaient tenus dans les hautes zones.",B2
Leur rapide descente avait seule pu leur donner connaissance des dangers qu’ils couraient au-dessus des flots.,B2
"Cependant, le ballon, délesté de lourds objets, tels que munitions, armes, provisions, s’était relevé dans les couches supérieures de l’atmosphère, à une hauteur de quatre mille cinq cents pieds.",B2
"Les passagers, après avoir reconnu que la mer était sous la nacelle, trouvant les dangers moins redoutables en haut qu’en bas, n’avaient pas hésité à jeter par-dessus le bord les objets même les plus utiles, et ils cherchaient à ne plus rien perdre de ce fluide, de cette âme de leur appareil, qui les soutenait au-dessus de l’abîme.",B2
La nuit se passa au milieu d’inquiétudes qui auraient été mortelles pour des âmes moins énergiques.,B2
"Puis le jour reparut, et, avec le jour, l’ouragan marqua une tendance à se modérer.",B2
"Dès le début de cette journée du 24 mars, il y eut quelques symptômes d’apaisement.",B2
"À l’aube, les nuages, plus vésiculaires, étaient remontés dans les hauteurs du ciel.",B2
"En quelques heures,",B2
4 la trombe s’évasa et se rompit.,B2
"Le vent, de l’état d’ouragan, passa au « grand frais », c’est-à-dire que la vitesse de translation des couches atmosphériques diminua de moitié.",B2
"C’était encore ce que les marins appellent « une brise à trois ris », mais l’amélioration dans le trouble des éléments n’en fut pas moins considérable.",B2
"Vers onze heures, la partie inférieure de l’air s’était sensiblement nettoyée.",B2
"L’atmosphère dégageait cette limpidité humide qui se voit, qui se sent même, après le passage des grands météores.",B2
Il ne semblait pas que l’ouragan fût allé plus loin dans l’ouest.,B2
Il paraissait s’être tué lui- même.,B2
"Peut-être s’était-il écoulé en nappes électriques, après la rupture de la trombe, ainsi qu’il arrive quelquefois aux typhons de l’océan Indien.",B2
"Mais, vers cette heure-là aussi, on eût pu constater, de nouveau, que le ballon s’abaissait lentement, par un mouvement continu, dans les couches inférieures de l’air.",B2
"Il semblait même qu’il se dégonflait peu à peu, et que son enveloppe s’allongeait en se distendant, passant de la forme sphérique à la forme ovoïde.",B2
"Vers midi, l’aérostat ne planait plus qu’à une hauteur de deux mille pieds au-dessus de la mer.",B2
"Il jaugeait cinquante mille pieds cubes, et, grâce à sa capacité, il avait évidemment pu se maintenir longtemps dans l’air, soit qu’il eût atteint de grandes altitudes, soit qu’il se fût déplacé suivant une direction horizontale.",B2
"En ce moment, les passagers jetèrent les derniers objets qui alourdissaient encore, la nacelle, les quelques vivres qu’ils avaient conservés, tout, jusqu’aux menus ustensiles qui garnissaient leurs poches, et l’un d’eux, s’étant hissé sur le cercle auquel se réunissaient les cordes du filet, chercha à lier solidement l’appendice inférieur de l’aérostat.",B2
"Il était évident que les passagers ne pouvaient plus maintenir le ballon dans les zones élevées, et que le gaz leur manquait !",B2
Ils étaient donc perdus !,B2
"En effet, ce n’était ni un continent, ni même une île, qui s’étendait au- dessous d’eux.",B2
"L’espace n’offrait pas un seul point d’atterrissement, pas une surface solide sur laquelle leur ancre pût mordre.",B2
"C’était l’immense mer, dont les flots se heurtaient encore avec une incomparable violence !",B2
"C’était l’Océan sans limites visibles, même pour eux, qui le dominaient de haut et dont les regards s’étendaient alors sur un rayon de quarante milles !",B2
"C’était cette plaine liquide, battue sans merci, fouettée par l’ouragan, qui devait leur apparaître comme une chevauchée de lames échevelées, sur lesquelles eût été jeté un vaste réseau de crêtes blanches !",B2
"Pas une terre en vue, pas un navire !",B2
"Il fallait donc, à tout prix, arrêter le mouvement descensionnel, pour empêcher que l’aérostat ne vînt s’engloutir au milieu des flots.",B2
5 évidemment à cette urgente opération que s’employaient les passagers de la nacelle.,B2
"Mais, malgré leurs efforts, le ballon s’abaissait toujours, en même temps qu’il se déplaçait avec une extrême vitesse, suivant la direction du vent, c’est-à-dire du nord-est au sud-ouest.",B2
"Situation terrible, que celle de ces infortunés !",B2
Ils n’étaient évidemment plus maîtres de l’aérostat.,B2
Leurs tentatives ne pouvaient aboutir.,B2
L’enveloppe du ballon se dégonflait de plus en plus.,B2
Le fluide s’échappait sans qu’il fût aucunement possible de le retenir.,B2
"La descente s’accélérait visiblement, et, à une heure après midi, la nacelle n’était pas suspendue à plus de six cents pieds au-dessus de l’Océan.",B2
"C’est que, en effet, il était impossible d’empêcher la fuite du gaz, qui s’échappait librement par une déchirure de l’appareil.",B2
"En allégeant la nacelle de tous les objets qu’elle contenait, les passagers avaient pu prolonger, pendant quelques heures, leur suspension dans l’air.",B2
"Mais l’inévitable catastrophe ne pouvait qu’être retardée, et, si quelque terre ne se montrait pas avant la nuit, passagers, nacelle et ballon auraient définitivement disparu dans les flots.",B2
La seule manœuvre qu’il y eût à faire encore fut faite à ce moment.,B2
"Les passagers de l’aérostat étaient évidemment des gens énergiques, et qui savaient regarder la mort en face.",B2
On n’eût pas entendu un seul murmure s’échapper de leurs lèvres.,B2
"Ils étaient décidés à lutter jusqu’à la dernière seconde, à tout faire pour retarder leur chute.",B2
"La nacelle n’était qu’une sorte de caisse d’osier, impropre à flotter, et il n’y avait aucune possibilité de la maintenir à la surface de la mer, si elle y tombait.",B2
"À deux heures, l’aérostat était à peine à quatre cents pieds au-dessus des flots.",B2
"En ce moment, une voix mâle  la voix d’un homme dont le cœur était inaccessible à la crainte  se fit entendre.",B2
À cette voix répondirent des voix non moins énergiques.,B2
« Tout est-il jeté ?,B2
Il y a encore dix mille francs d’or !,B2
» Un sac pesant tomba aussitôt à la mer.,B2
« Le ballon se relève-t-il ?,B2
" Un peu, mais il ne tardera pas à retomber !",B2
 Que reste-t-il à jeter au-dehors ?,B2
 Si !… La nacelle !,B2
 Accrochons-nous au filet !,B2
et à la mer la nacelle !,B2
"» C’était, en effet, le seul et dernier moyen d’alléger l’aérostat.",B2
"Les cordes qui rattachaient la nacelle au cercle furent coupées, et l’aérostat, après sa chute, remonta de deux mille pieds.",B2
"6 Les cinq passagers s’étaient hissés dans le filet, au-dessus du cercle, et se tenaient dans le réseau des mailles, regardant l’abîme.",B2
On sait de quelle sensibilité statique sont doués les aérostats.,B2
Il suffit de jeter l’objet le plus léger pour provoquer un déplacement dans le sens vertical.,B2
"L’appareil, flottant dans l’air, se comporte comme une balance d’une justesse mathématique.",B2
"On comprend donc que, lorsqu’il est délesté d’un poids relativement considérable, son déplacement soit important et brusque.",B2
C’est ce qui arriva dans cette occasion.,B2
"Mais, après s’être un instant équilibré dans les zones supérieures, l’aérostat commença à redescendre.",B2
"Le gaz fuyait par la déchirure, qu’il était impossible de réparer.",B2
Les passagers avaient fait tout ce qu’ils pouvaient faire.,B2
Aucun moyen humain ne pouvait les sauver désormais.,B2
Ils n’avaient plus à compter que sur l’aide de Dieu.,B2
"À quatre heures, le ballon n’était plus qu’à cinq cents pieds de la surface des eaux.",B2
Un aboiement sonore se fit entendre.,B2
Un chien accompagnait les passagers et se tenait accroché près de son maître dans les mailles du filet.,B2
« Top a vu quelque chose !,B2
» s’écria l’un des passagers.,B2
"Puis, aussitôt, une voix forte se fit entendre : « Terre !",B2
"» Le ballon, que le vent ne cessait d’entraîner vers le sud-ouest, avait, depuis l’aube, franchi une distance considérable, qui se chiffrait par centaines de milles, et une terre assez élevée venait, en effet, d’apparaître dans cette direction.",B2
Mais cette terre se trouvait encore à trente milles sous le vent.,B2
