sentence,difficulty
"Faut-il en conclure qu’elle ne soit pas vraie, étant donné son invraisemblance ?",C1
Ce serait une erreur.,C1
"Nous sommes d’un temps où tout arrive,  on a presque le droit de dire où tout est arrivé.",C1
"Si notre récit n’est point vraisemblable aujourd’hui, il peut l’être demain, grâce aux ressources scientifiques qui sont le lot de l’avenir, et personne ne s’aviserait de le mettre au rang des légendes.",C1
"D’ailleurs, il ne se crée plus de légendes au déclin de ce pratique et positif XIXe siècle, ni en Bretagne, la contrée des farouches korrigans, ni en Écosse, la terre des brownies et des gnomes, ni en Norvège, la patrie des ases, des elfes, des sylphes et des valkyries, ni même en Transylvanie, où le cadre des Carpathes se prête si naturellement à toutes les évocations psychagogiques.",C1
Cependant il convient de noter que le pays transylvain est encore très attaché aux superstitions des premiers âges.,C1
"Ces provinces de l’extrême Europe, M. de Gérando les a décrites, Élisée Reclus les a visitées.",C1
Tous deux n’ont rien dit de la curieuse histoire sur laquelle repose ce roman.,C1
En ont-ils eu connaissance ?,C1
"peut-être, mais ils n’auront point voulu y ajouter foi.",C1
"C’est regrettable, car ils l’eussent racontée, l’un avec la précision d’un annaliste, l’autre avec cette poésie instinctive dont sont empreintes ses relations de voyage.",C1
"Puisque ni l’un ni l’autre ne l’ont fait, je vais essayer de le faire pour eux.",C1
"Le 29 mai de cette année-là, un berger surveillait son troupeau à la lisière d’un plateau verdoyant, au pied du Retyezat, qui domine une vallée fertile, boisée d’arbres à tiges droites, enrichie de belles cultures.",C1
"Ce plateau élevé, découvert, sans abri, les galernes, qui sont les vents de nord-ouest, le rasent pendant l’hiver comme avec un rasoir de barbier.",C1
"On dit alors, dans le pays, qu’il se fait la barbe  et parfois de très près.",C1
"Ce berger n’avait rien d’arcadien dans son accoutrement, ni de bucolique dans son attitude.",C1
"Ce n’était pas Daphnis, Amyntas, Tityre, Lycidas ou Mélibée.",C1
"Le Lignon ne murmurait point à ses pieds ensabotés de gros socques de bois : c’était la Sil valaque, dont les eaux fraîches et pastorales eussent été dignes de couler à travers les méandres du roman de l’Astrée.",C1
