sentence,difficulty
» se dit à lui-même le bon docteur en se renversant dans un grand fauteuil de cuir.,B2
"Le docteur Sarrasin avait toute sa vie pratiqué le monologue, qui est une des formes de la distraction.",B2
"C’était un homme de cinquante ans, aux traits fins, aux yeux vifs et purs sous leurs lunettes d’acier, de physionomie à la fois grave et aimable, un de ces individus dont on se dit à première vue : voilà un brave homme.",B2
"À cette heure matinale, bien que sa tenue ne trahît aucune recherche, le docteur était déjà rasé de frais et cravaté de blanc.",B2
"Sur le tapis, sur les meubles de sa chambre d’hôtel, à Brighton, s’étalaient le Times, le Daily Telegraph, le Daily News.",B2
"Dix heures sonnaient à peine, et le docteur avait eu le temps de faire le tour de la ville, de visiter un hôpital, de rentrer à son hôtel et de lire dans les principaux journaux de Londres le compte rendu in extenso d’un mémoire qu’il avait présenté l’avant-veille au grand Congrès international d’Hygiène, sur un « compte-globules du sang » dont il était l’inventeur.",B2
"Devant lui, un plateau, recouvert d’une nappe blanche, contenait une côtelette cuite à point, une tasse de thé fumant et quelques-unes de ces rôties au beurre que les cuisinières anglaises font à merveille, grâce aux petits pains spéciaux que les boulangers leur fournissent.",B2
"Oui, répétait-il, ces journaux du Royaume-Uni sont vraiment très bien faits, on ne peut pas dire le contraire !… Le speech du vice-président, la réponse du docteur Cicogna, de Naples, les développements de mon mémoire, tout y est saisi au vol, pris sur le fait, photographié.",B2
"La parole est au docteur Sarrasin, de Douai.",B2
L’honorable associé s’exprime en français.,B2
"« Mes auditeurs m’excuseront, dit-il en",B2
"2 débutant, si je prends cette liberté ; mais ils comprennent assurément mieux ma langue que je ne saurais parler la leur… » « Cinq colonnes en petit texte !… Je ne sais pas lequel vaut mieux du compte rendu du Times ou de celui du Telegraph… On n’est pas plus exact et plus précis !",B2
"» Le docteur Sarrasin en était là de ses réflexions, lorsque le maître des cérémonies lui-même,  on n’oserait donner un moindre titre à un personnage si correctement vêtu de noir,  frappa à la porte et demanda si « monsiou » était visible… « Monsiou » est une appellation générale que les Anglais se croient obligés d’appliquer à tous les Français indistinctement, de même qu’ils s’imagineraient manquer à toutes les règles de la civilité en ne désignant pas un Italien sous le titre de « Signor » et un Allemand sous celui de « Herr ».",B2
"Peut-être, au surplus, ont-ils raison.",B2
Cette habitude routinière a incontestablement l’avantage d’indiquer d’emblée la nationalité des gens.,B2
Le docteur Sarrasin avait pris la carte qui lui était présentée.,B2
"Assez étonné de recevoir une visite en un pays où il ne connaissait personne, il le fut plus encore lorsqu’il lut sur le carré de papier minuscule : « Mr. SHARP, solicitor, 93, Southampton row, LONDON.",B2
"» Il savait qu’un « solicitor » est le congénère anglais d’un avoué, ou plutôt homme de loi hybride, intermédiaire entre le notaire, l’avoué et l’avocat,  le procureur d’autrefois.",B2
« Que diable puis-je avoir à démêler avec Mr. Sharp ?,B2
se demanda- t-il.,B2
Est-ce que je me serais fait sans y songer une mauvaise affaire ?… Vous être bien sûr que c’est pour moi ?,B2
 Eh bien !,B2
"» Le maître des cérémonies introduisit un homme jeune encore, que le docteur, à première vue, classa dans la grande famille des « têtes de mort ».",B2
"Ses lèvres minces ou plutôt desséchées, ses longues dents blanches, ses cavités temporales presque à nu sous une peau parcheminée, son teint de momie et ses petits yeux gris au regard de vrille lui donnaient des titres incontestables à cette qualification.",B2
"3 squelette disparaissait des talons à l’occiput sous un « ulster-coat » à grands carreaux, et dans sa main il serrait la poignée d’un sac de voyage en cuir verni.",B2
"Ce personnage entra, salua rapidement, posa à terre son sac et son chapeau, s’assit sans en demander la permission et dit : « William Henry Sharp junior, associé de la maison Billows, Green.",B2
"Sharp & Co… C’est bien au docteur Sarrasin que j’ai l’honneur ?…  Oui, monsieur.",B2
 François Sarrasin ?,B2
 C’est en effet mon nom.,B2
 De Douai ?,B2
 Douai est ma résidence.,B2
 Votre père s’appelait Isidore Sarrasin ?,B2
 Nous disons donc qu’il s’appelait Isidore Sarrasin.,B2
"» Mr. Sharp tira un calepin de sa poche, le consulta et reprit : « Isidore Sarrasin est mort à Paris en 1857, VIe arrondissement, rue Taranne, numéro 54, hôtel des Écoles, actuellement démoli.",B2
" En effet, dit le docteur, de plus en plus surpris.",B2
"Mais voudriez- vous m’expliquer ?…  Le nom de sa mère était Julie Langévol, poursuivit Mr. Sharp, imperturbable.",B2
"Elle était originaire de Bar-le-Duc, fille de Bénédict Langévol, demeurant impasse Loriol, mort en 1812, ainsi qu’il appert des registres de la municipalité de ladite ville… Ces registres sont une institution bien précieuse, monsieur, bien précieuse !… Hem !… hem !",B2
"… et sœur de Jean-Jacques Langévol, tambour-major au 36e léger…  Je vous avoue, dit ici le docteur Sarrasin, émerveillé par cette connaissance approfondie de sa généalogie, que vous paraissez sur ces divers points mieux informé que moi.",B2
"Il est vrai que le nom de famille de ma grand-mère était Langévol, mais c’est tout ce que je sais d’elle.",B2
" Elle quitta vers 1807 la ville de Bar-le-Duc avec votre grand-père, Jean Sarrasin, qu’elle avait épousé en 1799.",B2
"Tous deux allèrent s’établir à Melun comme ferblantiers et y restèrent jusqu’en 1811, date de la mort de Julie Langévol, femme Sarrasin.",B2
"De leur mariage, il n’y avait qu’un enfant, Isidore Sarrasin, votre père.",B2
"À dater de ce moment, le fil est perdu, sauf pour la date de la mort d’icelui, retrouvée à Paris…",B2
"4  Je puis rattacher ce fil, dit le docteur, entraîné malgré lui par cette précision toute mathématique.",B2
"Mon grand-père vint s’établir à Paris pour l’éducation de son fils, qui se destinait à la carrière médicale.",B2
"Il mourut, en 1832, à Palaiseau, près Versailles, où mon père exerçait sa profession et où je suis né moi-même en 1822.",B2
" Vous êtes mon homme, reprit Mr. Sharp.",B2
Pas de frères ni de sœurs ?,B2
…  Non !,B2
"J’étais fils unique, et ma mère est morte deux ans après ma naissance… Mais enfin, monsieur, me direz-vous ?… » Mr. Sharp se leva.",B2
"« Sir Bryah Jowahir Mothooranath, dit-il, en prononçant ces noms avec le respect que tout Anglais professe pour les titres nobiliaires, je suis heureux de vous avoir découvert et d’être le premier à vous présenter mes hommages !",B2
" Cet homme est aliéné, pensa le docteur.",B2
C’est assez fréquent chez les têtes de mort ».,B2
Le solicitor lut ce diagnostic dans ses yeux.,B2
"« Je ne suis pas fou le moins du monde, répondit-il avec calme.",B2
"Vous êtes, à l’heure actuelle, le seul héritier connu du titre de baronnet, concédé, sur la présentation du gouverneur général de la province de Bengale, à Jean-Jacques Langévol, naturalisé sujet anglais en 1819, veuf de la Bégum Gokool, usufruitier de ses biens, et décédé en 1841, ne laissant qu’un fils, lequel est mort idiot et sans postérité, incapable et intestat, en 1869.",B2
"La succession s’élevait, il y a trente ans, à environ cinq millions de livres sterling.",B2
"Elle est restée sous séquestre et tutelle, et les intérêts en ont été capitalisés presque intégralement pendant la vie du fils imbécile de Jean-Jacques Langévol.",B2
"Cette succession a été évaluée en 1870 au chiffre rond de vingt et un millions de livres sterling, soit cinq cent vingt-cinq millions de francs.",B2
"En exécution d’un jugement du tribunal d’Agra, confirmé par la cour de Delhi, homologué par le Conseil privé, les biens immeubles et mobiliers ont été vendus, les valeurs réalisées, et le total a été placé en dépôt à la Banque d’Angleterre.",B2
"Il est actuellement de cinq cent vingt-sept millions de francs, que vous pourrez retirer avec un simple chèque, aussitôt après avoir fait vos preuves généalogiques en Cour de Chancellerie, et sur lesquels je m’offre dès aujourd’hui à vous faire avancer par Mrs. Trollop, Smith & Co., banquiers, n’importe quel à-compte à valoir… »",B2
5 Le docteur Sarrasin était pétrifié.,B2
Il resta un instant sans trouver un mot à dire.,B2
"Puis, mordu par un remords d’esprit critique et ne pouvant accepter comme fait expérimental ce rêve des Mille et une Nuits, il s’écria : « Mais, au bout du compte, monsieur, quelles preuves me donnerez- vous de cette histoire, et comment avez-vous été conduit à me découvrir ?",B2
" Les preuves sont ici, répondit Mr. Sharp, en tapant sur le sac de cuir verni.",B2
"Quant à la manière dont je vous ai trouvé, elle est fort naturelle.",B2
