sentence,difficulty
"2 CHAPITRE PREMIER Balance-fish Le 26 juillet 1864, par une forte brise de nord-est, un magnifique yacht évoluait à toute vapeur sur les flots du canal du Nord.",B2
"Le pavillon d’Angleterre battait à sa corne d’artimon ; à l’extrémité du grand mât, un guidon bleu portait les initiales E.G., brodées en or et surmontées d’une couronne ducale.",B2
"Ce yacht se nommait le Duncan ; il appartenait à lord Glenarvan, l’un des seize pairs écossais qui siègent à la chambre haute, et le membre le plus distingué du « Royal-Thames-Yacht-Club, » si célèbre dans tout le Royaume-Uni.",B2
"Lord Edward Glenarvan se trouvait à bord avec sa jeune femme, lady Helena, et l’un de ses cousins, le major Mac Nabbs.",B2
"Le Duncan, nouvellement construit, était venu faire ses essais à quelques milles au dehors du golfe de la Clyde, et cherchait à rentrer à Glasgow ; déjà l’île d’Arran se relevait à l’horizon, quand le matelot de vigie signala un énorme poisson qui s’ébattait dans le sillage du yacht.",B2
Le capitaine John Mangles fit aussitôt prévenir lord Edward de cette rencontre.,B2
"Celui-ci monta sur la dunette avec le major Mac Nabbs, et demanda au capitaine ce qu’il pensait de cet animal.",B2
"« Vraiment, Votre Honneur, répondit John Mangles, je pense que c’est un requin d’une belle taille.",B2
 Un requin dans ces parages !,B2
" Cela n’est pas douteux, reprit le capitaine ; ce poisson appartient à une espèce de requins qui se rencontre dans toutes les mers et sous toutes les latitudes.",B2
"C’est le ""balance-fish,"" et je me trompe fort, ou nous avons affaire à l’un de ces coquins-là !",B2
"Si Votre Honneur y consent, et pour peu qu’il plaise à lady Glenarvan d’assister à une pêche curieuse, nous saurons bientôt à quoi nous en tenir.",B2
" Qu’en pensez-vous, Mac Nabbs ?",B2
dit lord Glenarvan au major ; êtes-vous d’avis de tenter l’aventure ?,B2
" Je suis de l’avis qu’il vous plaira, répondit tranquillement le major.",B2
"3  D’ailleurs, reprit John Mangles, on ne saurait trop exterminer ces terribles bêtes.",B2
"Profitons de l’occasion, et s’il plaît à Votre Honneur, ce sera à la fois un émouvant spectacle et une bonne action.",B2
" Faites, John, » dit lord Glenarvan.",B2
"Puis il envoya prévenir lady Helena, qui le rejoignit sur la dunette, fort tentée vraiment par cette pêche émouvante.",B2
"La mer était magnifique ; on pouvait facilement suivre à sa surface les rapides évolutions du squale, qui plongeait ou s’élançait avec une surprenante vigueur.",B2
John Mangles donna ses ordres.,B2
"Les matelots jetèrent par-dessus les bastingages de tribord une forte corde, munie d’un émerillon amorcé avec un épais morceau de lard.",B2
"Le requin, bien qu’il fût encore à une distance de cinquante yards, sentit l’appât offert à sa voracité.",B2
Il se rapprocha rapidement du yacht.,B2
"On voyait ses nageoires, grises à leur extrémité, noires à leur base, battre les flots avec violence, tandis que son appendice caudal le maintenait dans une ligne rigoureusement droite.",B2
"À mesure qu’il s’avançait, ses gros yeux saillants apparaissaient enflammés par la convoitise, et ses mâchoires béantes, lorsqu’il se retournait, découvraient une quadruple rangée de dents.",B2
Sa tête était large et disposée comme un double marteau au bout d’un manche.,B2
"John Mangles n’avait pu s’y tromper ; c’était là le plus vorace échantillon de la famille des squales, le poisson-balance des Anglais, le poisson-juif des Provençaux.",B2
Les passagers et les marins du Duncan suivaient avec une vive attention les mouvements du requin.,B2
"Bientôt l’animal fut à portée de l’émerillon ; il se retourna sur le dos pour le mieux saisir, et l’énorme amorce disparut dans son vaste gosier.",B2
"Aussitôt il « se ferra » lui-même, en donnant une violente secousse au câble, et les matelots hâtèrent le monstrueux squale au moyen d’un palan frappé à l’extrémité de la grande vergue.",B2
"Le requin se débattit violemment, en se voyant arracher de son élément naturel.",B2
Mais on eut raison de sa violence.,B2
Une corde munie d’un nœud coulant le saisit par la queue et paralysa ses mouvements.,B2
"Quelques instants après, il était enlevé au-dessus des bastingages et précipité sur le pont du yacht.",B2
"Aussitôt, un des marins s’approcha de",B2
"4 lui, non sans précaution, et, d’un coup de hache porté avec vigueur, il trancha la formidable queue de l’animal.",B2
"La pêche était terminée ; il n’y avait plus rien à craindre de la part du monstre ; la vengeance des marins se trouvait satisfaite, mais non leur curiosité.",B2
