sentence,difficulty
"2 CHAPITRE Ier Une fête au Palais-Neuf « Sire, une nouvelle dépêche.",B2
 D’où vient-elle ?,B2
 Le fil est coupé au-delà de cette ville ?,B2
 Il est coupé depuis hier.,B2
" D’heure en heure, général, fais passer un télégramme à Tomsk, et que l’on me tienne au courant.",B2
" Oui, sire, » répondit le général Kissoff.",B2
"Ces paroles étaient échangées à deux heures du matin, au moment où la fête, donnée au Palais-Neuf, était dans toute sa magnificence.",B2
"Pendant cette soirée, la musique des régiments de Préobrajensky et de Paulowsky n’avait cessé de jouer ses polkas, ses mazurkas, ses scottishs et ses valses, choisies parmi les meilleures du répertoire.",B2
"Les couples de danseurs et de danseuses se multipliaient à l’infini à travers les splendides salons de ce palais, élevé à quelques pas de la « vieille maison de pierres », où tant de drames terribles s’étaient accomplis autrefois, et dont les échos se réveillèrent, cette nuit-là, pour répercuter des motifs de quadrilles.",B2
"Le grand maréchal de la cour était, d’ailleurs, bien secondé dans ses délicates fonctions.",B2
"Les grands-ducs et leurs aides de camp, les chambellans de service, les officiers du palais présidaient eux- mêmes à l’organisation des danses.",B2
"Les grandes-duchesses, couvertes de diamants, les dames d’atour, revêtues de leurs costumes de gala, donnaient vaillamment l’exemple aux femmes des hauts fonctionnaires militaires et civils de l’ancienne « ville aux blanches pierres ».",B2
"Aussi, lorsque le signal de la « polonaise » retentit, quand les invités de tout rang prirent part à cette promenade cadencée, qui, dans les solennités de ce genre, a toute l’importance d’une danse nationale, le mélange des longues robes étagées de dentelles et des uniformes chamarrés de",B2
"3 décorations offrit-il un coup d’œil indescriptible, sous la lumière de cent lustres que décuplait la réverbération des glaces.",B2
Ce fut un éblouissement.,B2
"D’ailleurs, le grand salon, le plus beau de tous ceux que possède le Palais-Neuf, faisait à ce cortège de hauts personnages et de femmes splendidement parées un cadre digne de leur magnificence.",B2
"La riche voûte, avec ses dorures, adoucies déjà sous la patine du temps, était comme étoilée de points lumineux.",B2
"Les brocarts des rideaux et des portières, accidentés de plis superbes, s’empourpraient de tons chauds, qui se cassaient violemment aux angles de la lourde étoffe.",B2
"À travers les vitres des vastes baies arrondies en plein cintre, la lumière dont les salons étaient imprégnés, tamisée par une buée légère, se manifestait au dehors comme un reflet d’incendie et tranchait vivement avec la nuit qui, pendant quelques heures, enveloppait ce palais étincelant.",B2
"Aussi, ce contraste attirait-il l’attention de ceux des invités que les danses ne réclamaient pas.",B2
"Lorsqu’ils s’arrêtaient aux embrasures des fenêtres, ils pouvaient apercevoir quelques clochers, confusément estompés dans l’ombre, qui profilaient çà et là leurs énormes silhouettes.",B2
"Au-dessous des balcons sculptés, ils voyaient se promener silencieusement de nombreuses sentinelles, le fusil horizontalement couché sur l’épaule, et dont le casque pointu s’empanachait d’une aigrette de flamme sous l’éclat des feux lancés au dehors.",B2
"Ils entendaient aussi le pas des patrouilles qui marquait la mesure sur les dalles de pierre, avec plus de justesse peut-être que le pied des danseurs sur le parquet des salons.",B2
"De temps en temps, le cri des factionnaires se répétait de poste en poste, et, parfois, un appel de trompette, se mêlant aux accords de l’orchestre, jetait ses notes claires au milieu de l’harmonie générale.",B2
"Plus bas encore, devant la façade, des masses sombres se détachaient sur les grands cônes de lumière que projetaient les fenêtres du Palais-Neuf.",B2
"C’étaient des bateaux qui descendaient le cours d’une rivière, dont les eaux, piquées par la lueur vacillante de quelques fanaux, baignaient les premières assises des terrasses.",B2
"Le principal personnage du bal, celui qui donnait cette fête, et auquel le général Kissoff avait attribué une qualification réservée aux souverains, était simplement vêtu d’un uniforme d’officier des chasseurs de la garde.",B2
"Ce n’était point affectation de sa part, mais",B2
4 habitude d’un homme peu sensible aux recherches de l’apparat.,B2
"Sa tenue contrastait donc avec les costumes superbes qui se mélangeaient autour de lui, et c’est même ainsi qu’il se montrait, la plupart du temps, au milieu de son escorte de Géorgiens, de Cosaques, de Lesghiens, éblouissants escadrons, splendidement revêtus des brillants uniformes du Caucase.",B2
"Ce personnage, haut de taille, l’air affable, la physionomie calme, le front soucieux cependant, allait d’un groupe à l’autre, mais il parlait peu, et même il ne semblait prêter qu’une vague attention, soit aux propos joyeux des jeunes invités, soit aux paroles plus graves des hauts fonctionnaires ou des membres du corps diplomatique qui représentaient près de lui les principaux États de l’Europe.",B2
"Deux ou trois de ces perspicaces hommes politiques  physionomistes par état  avaient bien cru observer sur le visage de leur hôte quelque symptôme d’inquiétude, dont la cause leur échappait, mais pas un seul ne se fût permis de l’interroger à ce sujet.",B2
"En tout cas, l’intention de l’officier des chasseurs de la garde était, à n’en pas douter, que ses secrètes préoccupations ne troublassent cette fête en aucune façon, et comme il était un de ces rares souverains auxquels presque tout un monde s’est habitué à obéir, même en pensée, les plaisirs du bal ne se ralentirent pas un instant.",B2
"Cependant, le général Kissoff attendait que l’officier auquel il venait de communiquer la dépêche expédiée de Tomsk lui donnât l’ordre de se retirer, mais celui-ci restait silencieux.",B2
"Il avait pris le télégramme, il l’avait lu, et son front s’assombrit davantage.",B2
"Sa main se porta même involontairement à la garde de son épée et remonta vers ses yeux, qu’elle voila un instant.",B2
On eût dit que l’éclat des lumières le blessait et qu’il recherchait l’obscurité pour mieux voir en lui-même.,B2
"« Ainsi, reprit-il après avoir conduit le général Kissoff dans l’embrasure d’une fenêtre, depuis hier nous sommes sans communication avec le grand-duc mon frère ?",B2
" Sans communication, sire, et il est à craindre que les dépêches ne puissent bientôt plus passer la frontière sibérienne.",B2
" Mais les troupes des provinces de l’Amour et d’Iakoutsk, ainsi que celles de la Transbaikalie, ont reçu l’ordre de marcher immédiatement sur Irkoutsk ?",B2
5  Cet ordre a été donné par le dernier télégramme que nous avons pu faire parvenir au-delà du lac Baïkal.,B2
" Quant aux gouvernements de l’Yeniseisk, d’Omsk, de Sémipalatinsk, de Tobolsk, nous sommes toujours en communication directe avec eux depuis le début de l’invasion ?",B2
" Oui, sire, nos dépêches leur parviennent, et nous avons la certitude, à l’heure qu’il est, que les Tartares ne se sont pas avancés au-delà de l’Irtych et de l’Obi.",B2
" Et du traître Ivan Ogareff, on n’a aucune nouvelle ?",B2
" Aucune, répondit le général Kissoff.",B2
Le directeur de la police ne saurait affirmer s’il a passé ou non la frontière.,B2
" Que son signalement soit immédiatement envoyé à Nijni- Novgorod, à Perm, à Ékaterinbourg, à Kassimow, à Tioumen, à Ichim, à Omsk, à Élamsk, à Kolyvan, à Tomsk, à tous les postes télégraphiques avec lesquels le fil correspond encore !",B2
" Les ordres de Votre Majesté vont être exécutés à l’instant, répondit le général Kissoff.",B2
 Silence sur tout ceci !,B2
"» Puis, ayant fait un signe de respectueuse adhésion, le général, après s’être incliné, se confondit d’abord dans la foule, et quitta bientôt les salons, sans que son départ eût été remarqué.",B2
"Quant à l’officier, il resta rêveur pendant quelques instants, et lorsqu’il revint se mêler aux divers groupes de militaires et d’hommes politiques qui s’étaient formés sur plusieurs points des salons, son visage avait repris tout le calme dont il s’était un moment départi.",B2
"Cependant, le fait grave qui avait motivé ces paroles, rapidement échangées, n’était pas aussi ignoré que l’officier des chasseurs de la garde et le général Kissoff pouvaient le croire.",B2
"On n’en parlait pas officiellement, il est vrai, ni même officieusement, puisque les langues n’étaient pas déliées « par ordre », mais quelques hauts personnages avaient été informés plus ou moins exactement des évènements qui s’accomplissaient au-delà de la frontière.",B2
"En tout cas, ce qu’ils ne savaient peut-être qu’à peu près, ce dont ils ne s’entretenaient pas, même entre membres du corps diplomatique, deux invités qu’aucun uniforme, aucune décoration ne signalait à cette réception du Palais-Neuf, en causaient à voix basse et paraissaient avoir reçu des informations assez précises.",B2
"6 Comment, par quelle voie, grâce à quel entregent, ces deux simples mortels savaient-ils ce que tant d’autres personnages, et des plus considérables, soupçonnaient à peine ?",B2
on n’eût pu le dire.,B2
Était- ce chez eux don de prescience ou de prévision ?,B2
"Possédaient-ils un sens supplémentaire, qui leur permettait de voir au-delà de cet horizon limité auquel est borné tout regard humain ?",B2
Avaient-ils un flair particulier pour dépister les nouvelles les plus secrètes ?,B2
"Grâce à cette habitude, devenue chez eux une seconde nature, de vivre de l’information et par l’information, leur nature s’était-elle donc transformée ?",B2
on eût été tenté de l’admettre.,B2
"De ces deux hommes, l’un était Anglais, l’autre Français, tous deux grands et maigres,  celui-ci brun comme les méridionaux de la Provence,  celui-là roux comme un gentleman du Lancashire.",B2
"L’Anglo-Normand, compassé, froid, flegmatique, économe de mouvements et de paroles, semblait ne parler ou gesticuler que sous la détente d’un ressort qui opérait à intervalles réguliers.",B2
"Au contraire, le Gallo-Romain, vif, pétulant, s’exprimait tout à la fois des lèvres, des yeux, des mains, ayant vingt manières de rendre sa pensée, lorsque son interlocuteur paraissait n’en avoir qu’une seule, immuablement stéréotypée dans son cerveau.",B2
