sentence,difficulty
"Mais ils ne se préoccupaient guère de cette éventualité, les marins qui faisaient leurs préparatifs d’appareillage à bord du Franklin, dans la matinée du 15 mars 1875.",C1
"Un joli navire, de neuf cents tonneaux, ce Franklin, gréé en trois-mâts-goélette, largement voilé de brigantines, focs et flèches, hunier et perroquet à son mât de misaine.",C1
"Très relevé de ses fayons d’arrière, légèrement rentré de ses œuvres vives, avec son avant disposé pour couper l’eau sous un angle très fin, sa mâture un peu inclinée et d’un parallélisme rigoureux, son gréement de fils galvanisés, aussi raide que s’il eût été fait de barres métalliques, il offrait le type le plus moderne de ces élégants clippers, dont le Nord-Amérique se sert avec tant d’avantage pour le grand commerce, et qui luttent de vitesse avec les meilleurs steamers de sa flotte marchande.",C1
Le Franklin était à la fois si parfaitement construit et si intrépidement commandé que pas un homme de son équipage n’eût accepté d’embarquer sur un autre bâtiment  même avec l’assurance d’obtenir une plus haute paye.,C1
"Tous partaient, le cœur plein de cette double confiance, qui s’appuie sur un bon navire et sur un bon capitaine.",C1
"Le Franklin était à la veille d’entreprendre son premier voyage au long cours pour le compte de la maison William H. Andrew, de San-Diégo.",C1
Il devait se rendre à Calcutta par,C1
"6 Singapore, avec un chargement de marchandises fabriquées en Amérique, et rapporter une cargaison des productions de l’Inde, à destination de l’un des ports du littoral californien.",C1
Le capitaine John Branican était un jeune homme de vingt- neuf ans.,C1
"Doué d’une physionomie attrayante mais résolue, les traits empreints d’une rare énergie, il possédait au plus haut degré le courage moral, si supérieur au courage physique  ce courage « de deux heures après minuit », disait Napoléon, c’est-à-dire celui qui fait face à l’imprévu et se retrouve à chaque moment.",C1
"Sa tête était plus caractérisée que belle, avec ses cheveux rudes, ses yeux animés d’un regard vif et franc, qui jaillissait comme un dard de ses pupilles noires.",C1
"On eût difficilement imaginé chez un homme de son âge une constitution plus robuste, une membrure plus solide.",C1
Cela se sentait à la vigueur de ses poignées de main qui indiquaient l’ardeur de son sang et la force de ses muscles.,C1
"Le point sur lequel il convient d’insister, c’est que l’âme, contenue dans ce corps de fer, était l’âme d’un être généreux et bon, prêt à sacrifier sa vie pour son semblable.",C1
"John Branican avait le tempérament de ces sauveteurs, auxquels leur sang-froid permet d’accomplir sans hésiter des actes d’héroïsme.",C1
Il avait fait ses preuves de bonne heure.,C1
"Un jour, au milieu des glaces rompues de la baie, un autre jour, à bord d’une chaloupe chavirée, il avait sauvé des enfants, enfant lui-même.",C1
"Plus tard, il ne devait pas démentir les instincts de dévouement qui avaient marqué son jeune âge.",C1
"Depuis quelques années déjà, John Branican avait perdu son père et sa mère, lorsqu’il épousa Dolly Starter, orpheline, appartenant à l’une des meilleures familles de San-Diégo.",C1
"La dot de la jeune fille, très modeste, était en rapport avec la situation, non moins modeste, du jeune marin, simple lieutenant à bord d’un navire de commerce.",C1
"Mais il y avait lieu de penser que Dolly hériterait un jour d’un oncle fort riche, Edward Starter, qui menait la vie d’un campagnard dans la partie la plus sauvage et la moins abordable de l’État du Tennessee.",C1
"En attendant, il fallait vivre à deux  et même à trois, car le petit Walter, Wat par abréviation, vint au monde dans la première",C1
7 année du mariage.,C1
"Aussi, John Branican,  et sa femme le comprenait,  ne pouvait-il songer à abandonner son métier de marin.",C1
"Plus tard il verrait ce qu’il aurait à faire, lorsque la fortune lui serait venue par héritage, ou s’il s’enrichissait au service de la maison Andrew.",C1
"Au surplus, la carrière du jeune homme avait été rapide.",C1
