sentence,difficulty
"Ce bâtiment, de quatre cents tonneaux, armé à San-Francisco pour la grande pêche des mers australes, appartenait à James-W. Weldon, riche armateur californien, qui en avait confié, depuis plusieurs années, le commandement au capitaine Hull.",C1
"Le Pilgrim était l’un des plus petits, mais l’un des meilleurs navires de cette flottille, que James-W. Weldon envoyait, chaque saison, aussi bien au-delà du détroit de Behring, jusqu’aux mers boréales, que sur les parages de la Tasmanie",C1
"6 ou du cap Horn, jusqu’à l’Océan antarctique.",C1
Il marchait supérieurement.,C1
"Son gréement, très maniable, lui permettait de s’aventurer, avec peu d’hommes, en vue des impénétrables banquises de l’hémisphère austral.",C1
"Le capitaine Hull savait se « débrouiller », comme disent les matelots, au milieu de ces glaces qui, pendant l’été, dérivent par le travers de la Nouvelle- Zélande ou du cap de Bonne-Espérance, sous une latitude beaucoup plus basse que celle qu’elles atteignent dans les mers septentrionales du globe.",C1
"Il est vrai qu’il ne s’agissait là que d’icebergs de faible dimension, déjà usés par les chocs, rongés par les eaux chaudes, et dont le plus grand nombre va fondre dans le Pacifique ou l’Atlantique.",C1
"Sous les ordres du capitaine Hull, bon marin, et aussi l’un des plus habiles harponneurs de la flottille, se trouvait un équipage composé de cinq matelots et d’un novice.",C1
"C’était peu pour cette pêche de la baleine, qui exige un personnel assez nombreux.",C1
"Il faut du monde, aussi bien pour la manœuvre des embarcations d’attaque que pour le dépeçage des animaux capturés.",C1
"Mais, à l’exemple de certains armateurs, James-W. Weldon trouvait beaucoup plus économique de n’embarquer à San-Francisco que le nombre de matelots nécessaires à la conduite du bâtiment.",C1
"La Nouvelle-Zélande ne manquait point de harponneurs, marins de toutes nationalités, déserteurs ou autres, qui cherchaient à se louer pour la saison et faisaient habilement le métier de pêcheurs.",C1
"La période utile une fois achevée, on les payait, on les débarquait, et ils attendaient que les baleiniers de l’année suivante vinssent réclamer leurs services.",C1
"Il y avait, à cette méthode, meilleur emploi des marins disponibles, et plus grand profit à retirer de leur coopération.",C1
Ainsi avait-on agi à bord du Pilgrim.,C1
Le brick-goélette venait de faire sa saison sur la limite du cercle polaire antarctique.,C1
"Mais il n’avait pas son plein de barils d’huile, de fanons bruts et de fanons coupés.",C1
"À cette époque déjà, la pêche devenait difficile.",C1
"Les cétacés, pourchassés à l’excès, se faisaient rares.",C1
"La baleine franche, qui porte le nom de « Nord-caper » dans l’Océan boréal, et celui de « Sulpher- boltone » dans les mers du Sud, tendait à disparaître.",C1
"7 pêcheurs avaient dû se rejeter sur le « fin-back » ou jubarte, gigantesque mammifère, dont les attaques ne sont pas sans danger.",C1
"C’est ce qu’avait fait le capitaine Hull pendant cette campagne, mais, à son prochain voyage, il comptait bien s’élever plus haut en latitude, et, s’il le fallait, aller jusqu’en vue de ces terres Clarie et Adélie, dont la découverte, contestée par l’Américain Wilkes, appartient définitivement à l’illustre commandant de l’Astrolabe et de la Zélée, au Français Dumont d’Urville.",C1
"En somme, la saison n’avait pas été heureuse pour le Pilgrim.",C1
"Au commencement de janvier, c’est-à-dire vers le milieu de l’été austral, et bien que l’époque du retour ne fût pas encore venue pour les baleiniers, le capitaine Hull avait été contraint d’abandonner les lieux de pêche.",C1
"Son équipage de renfort,  un ramassis d’assez tristes sujets,  lui « chercha des raisons », comme on dit, et il dut songer à s’en séparer.",C1
"Le Pilgrim mit donc le cap au nord-ouest, sur les terres de la Nouvelle-Zélande, dont il eut connaissance le 15 janvier.",C1
"Il arriva à Waitemata, port d’Auckland, situé au fond du golfe de Chouraki, sur la côte est de l’île septentrionale, et il débarqua les pêcheurs qui avaient été engagés pour la saison.",C1
L’équipage n’était pas content.,C1
Il manquait au moins deux cents barils d’huile au chargement du Pilgrim.,C1
Jamais on n’avait fait plus mauvaise pêche.,C1
"Le capitaine Hull rentrait donc avec le désappointement d’un chasseur émérite, qui, pour la première fois, revient bredouille,  ou à peu près.",C1
"Son amour-propre, très surexcité, était en jeu, et il ne pardonnait pas à ces gueux dont l’insubordination avait compromis les résultats de sa campagne.",C1
Ce fut en vain qu’on essaya de recruter à Auckland un nouvel équipage de pêche.,C1
Tous les marins disponibles étaient embarqués sur les autres navires baleiniers.,C1
"Il fallut donc renoncer à l’espoir de compléter le chargement du Pilgrim, et le capitaine Hull se disposait à quitter définitivement Auckland, lorsqu’une demande de passage lui fut faite, à laquelle il ne pouvait refuser d’acquiescer.",C1
"8 Mrs. Weldon, femme de l’armateur du Pilgrim, son jeune fils Jack, âgé de cinq ans, et l’un de ses parents, qu’on appelait le cousin Bénédict, se trouvaient alors à Auckland.",C1
"James-W. Weldon, que ses opérations de commerce obligeaient quelquefois à visiter la Nouvelle-Zélande, les y avait amenés tous trois, et comptait bien les reconduire à San-Francisco.",C1
"Mais, au moment où toute la famille allait partir, le petit Jack tomba assez grièvement malade, et son père, impérieusement réclamé par ses affaires, dut quitter Auckland, en y laissant sa femme, son fils et le cousin Bénédict.",C1
"Trois mois s’étaient écoulés,  trois longs mois de séparation, qui furent extrêmement pénibles pour Mrs. Weldon.",C1
"Cependant, son jeune enfant se rétablit, et elle était en mesure de pouvoir partir, lorsqu’on lui signala l’arrivée du Pilgrim.",C1
"Or, à cette époque, pour retourner à San-Francisco, Mrs. Weldon se trouvait dans la nécessité d’aller chercher en Australie l’un des bâtiments de la Compagnie transocéanique du « Golden Age », qui font le service de Melbourne à l’isthme de Panama par Papéiti.",C1
"Puis, une fois rendue à Panama, il lui faudrait attendre le départ du steamer américain, qui établit une communication régulière entre l’isthme et la Californie.",C1
"De là, des retards, des transbordements, toujours désagréables pour une femme et un enfant.",C1
Ce fut à ce moment que le Pilgrim vint en relâche à Auckland.,C1
"Elle n’hésita pas et demanda au capitaine Hull de la prendre à son bord pour la reconduire à San-Francisco, elle, son fils, le cousin Bénédict et Nan, une vieille négresse qui la servait depuis son enfance.",C1
Trois milles lieues marines à faire sur un navire à voiles !,C1
"mais le bâtiment du capitaine Hull était si proprement tenu, et la saison si belle encore des deux côtés de l’Équateur !",C1
"Le capitaine Hull accepta, et mit aussitôt sa propre chambre à la disposition de sa passagère.",C1
"Il voulait que, pendant une traversée qui pouvait durer de quarante à cinquante jours, Mrs. Weldon fût installée aussi bien que possible à bord du baleinier.",C1
Il y avait donc certains avantages pour Mrs. Weldon à faire la traversée dans ces conditions.,C1
"Le seul désavantage, c’était que cette traversée serait nécessairement allongée par suite",C1
"9 de cette circonstance que le Pilgrim devait aller opérer son déchargement à Valparaiso, au Chili.",C1
"Cela fait, il n’aurait plus qu’à remonter la côte américaine, avec des vents de terre qui rendent ces parages fort agréables.",C1
"Mrs. Weldon était, d’ailleurs, une femme courageuse, que la mer n’effrayait pas.",C1
"Âgée de trente ans alors, d’une santé robuste, ayant l’habitude des voyages de long-cours, pour avoir partagé avec son mari les fatigues de plusieurs traversées, elle ne redoutait pas les chances plus ou moins aléatoires d’un embarquement à bord d’un navire de médiocre tonnage.",C1
"Elle connaissait le capitaine Hull pour un excellent marin, en qui James-W. Weldon avait toute confiance.",C1
"Le Pilgrim était un bâtiment solide, bon marcheur, bien coté dans la flottille des baleiniers américains.",C1
L’occasion se présentait.,C1
Il fallait en profiter.,C1
Mrs. Weldon en profita.,C1
"Le cousin Bénédict,  cela va sans dire,  devait l’accompagner.",C1
"Ce cousin était un brave homme, âgé de cinquante ans environ.",C1
"Mais, malgré sa cinquantaine, il n’eût pas été prudent de le laisser sortir seul.",C1
"Long plutôt que grand, étroit plutôt que maigre, la figure osseuse, le crâne énorme et très chevelu, on reconnaissait dans toute son interminable personne un de ces dignes savants à lunettes d’or, êtres inoffensifs et bons, destinés à rester toute leur vie de grands enfants et à finir très vieux, comme des centenaires qui mourraient en nourrice.",C1
"« Cousin Bénédict, »  c’est ainsi qu’on l’appelait invariablement, même en dehors de la famille, et, en vérité, il était bien de ces bonnes gens qui ont l’air d’être les cousins nés de tout le monde,  cousin Bénédict, toujours gêné de ses longs bras et de ses longues jambes, eût été absolument incapable de se tirer seul d’affaire, même dans les circonstances les plus ordinaires de la vie.",C1
"Il n’était pas gênant, oh !",C1
"non, mais plutôt embarrassant pour les autres et embarrassé pour lui-même.",C1
"Facile à vivre, d’ailleurs, s’accommodant de tout, oubliant de boire ou de manger, si on ne lui apportait pas à manger ou à boire, insensible au froid comme au chaud, il semblait moins appartenir au règne animal qu’au règne végétal.",C1
"10 Qu’on se figure un arbre bien inutile, sans fruits et presque sans feuilles, incapable de nourrir ou d’abriter, mais qui aurait un bon cœur.",C1
Tel était cousin Bénédict.,C1
"Il eût bien volontiers rendu service aux gens, si, dirait M. Prudhomme, il eût été capable d’en rendre !",C1
"Enfin, on l’aimait pour sa faiblesse même.",C1
"Mrs. Weldon le regardait comme son enfant,  un grand frère aîné de son petit Jack.",C1
"Il convient d’ajouter ici que cousin Bénédict n’était, cependant, ni désœuvré ni inoccupé.",C1
"C’était, au contraire, un travailleur.",C1
"Son unique passion, l’histoire naturelle, l’absorbait tout entier.",C1
"Dire « l’histoire naturelle », c’est beaucoup dire.",C1
"On sait que les diverses parties dont se compose cette science sont la zoologie, la botanique, la minéralogie et la géologie.",C1
"Or, cousin Bénédict n’était, à aucun degré, ni botaniste, ni minéralogiste, ni géologue.",C1
"Était-il donc un zoologiste dans l’entière acception du mot, quelque chose comme une sorte de Cuvier du Nouveau-Monde, décomposant l’animal par l’analyse ou le recomposant par la synthèse, un de ces profonds connaisseurs, versés dans l’étude des quatre types auxquels la science moderne rapporte toute l’animalité, vertébrés, mollusques, articulés et rayonnés ?",C1
"De ces quatre divisions, le naïf mais studieux savant avait-il observé les diverses classes et fouillé les ordres, les familles, les tribus, les genres, les espèces, les variétés qui les distinguent ?",C1
"Cousin Bénédict s’était-il livré à l’étude des vertébrés, mammifères, oiseaux, reptiles et poissons ?",C1
"Étaient-ce les mollusques, depuis les céphalopodes jusqu’aux bryozoaires, qui avaient eu sa préférence, et la malacologie n’avait-elle plus de secrets pour lui ?",C1
"11 C’étaient donc les rayonnés, échinodermes, acalèphes, polypes, entozoaires, spongiaires et infusoires, sur lesquels il avait si longtemps brûlé l’huile de sa lampe de travail ?",C1
Il faut bien avouer que ce n’étaient pas les rayonnés.,C1
"Or, comme il ne reste plus à citer en zoologie que la division des articulés, il va de soi que c’est sur cette division que s’était exercée l’unique passion du cousin Bénédict.",C1
"Oui, et encore convient-il de préciser.",C1
"L’embranchement des articulés compte six classes : les insectes, les myriapodes, les arachnides, les crustacés, les cirrhopodes, les annélides.",C1
"Or, cousin Bénédict, scientifiquement parlant, n’eût pas su distinguer un ver de terre d’une sangsue médicinale, un perce- pied d’un gland de mer, une araignée domestique d’un faux scorpion, une crevette d’une ranine, un iule d’un scolopendre.",C1
Mais alors qu’était cousin Bénédict ?,C1
"Un simple entomologiste, rien de plus.",C1
"À cela, on répondra sans doute que, dans son acception étymologique, l’entomologie est la partie des sciences naturelles qui comprend tous les articulés.",C1
"C’est vrai, d’une façon générale ; mais la coutume s’est établie de ne donner à ce mot qu’un sens plus restreint.",C1
"On ne l’applique donc qu’à l’étude proprement dite des insectes, c’est-à-dire « tous les animaux articulés dont le corps, composé d’anneaux placés bout à bout, forme trois segments distincts, qui possèdent trois paires de pattes, ce qui leur a valu le nom d’hexapodes.",C1
"» Or, comme cousin Bénédict s’était restreint à l’étude des articulés de cette classe, il n’était qu’un simple entomologiste.",C1
"Mais, qu’on ne s’y trompe pas !",C1
"Dans cette classe des insectes, on ne compte pas moins de dix ordres : les orthoptères, les névroptères, les hyménoptères, les lépidoptères, les hémiptères, les coléoptères, les diptères, les rhipiptères, les parasites et les thysanoures.",C1
"Or, dans certains de ces ordres, les coléoptères, par exemple, on a reconnu trente mille espèces et soixante mille dans les diptères, les sujets d’étude ne manquent donc pas, et on conviendra qu’il y a là de quoi occuper un homme seul.",C1
"12 Ainsi, la vie du cousin Bénédict était entièrement et uniquement consacrée à l’entomologie.",C1
"À cette science, il donnait toutes ses heures,  toutes sans exception, même les heures du sommeil, puisqu’il rêvait invariablement « hexapodes ».",C1
