sentence,difficulty
1 Première partie,B2
"2 I Un écueil fuyant L’année 1866 fut marquée par un évènement bizarre, un phénomène inexpliqué et inexplicable que personne n’a sans doute oublié.",B2
"Sans parler des rumeurs qui agitaient les populations des ports et surexcitaient l’esprit public à l’intérieur des continents, les gens de mer furent particulièrement émus.",B2
"Les négociants, armateurs, capitaines de navires, skippers et masters de l’Europe et de l’Amérique, officiers de marines militaires de tous pays, et, après eux, les gouvernements des divers États des deux continents, se préoccupèrent de ce fait au plus haut point.",B2
"En effet, depuis quelque temps, plusieurs navires s’étaient rencontrés sur mer avec « une chose énorme », un objet long, fusiforme, parfois phosphorescent, infiniment plus vaste et plus rapide qu’une baleine.",B2
"Les faits relatifs à cette apparition, consignés aux divers livres de bord, s’accordaient assez exactement sur la structure de l’objet ou de l’être en question, la vitesse incalculable de ses mouvements, la puissance surprenante de sa locomotion, la vie particulière dont il semblait doué.",B2
"Si c’était un cétacé, il surpassait en volume tous ceux que la science avait classés jusqu’alors.",B2
"Ni Cuvier, ni Lacépède, ni M. Dumeril, ni M. de Quatrefages, n’eussent admis l’existence d’un tel monstre,  à moins de l’avoir vu, ce qui s’appelle vu, de leurs propres yeux de savants.",B2
"À prendre la moyenne des observations faites à diverses reprises, en rejetant les évaluations timides qui assignaient à cet objet une longueur de deux cents pieds, et en repoussant les opinions exagérées qui le disaient large d’un mille et long de trois, on pouvait affirmer, cependant, que cet être phénoménal dépassait de beaucoup toutes les dimensions admises jusqu’à ce jour par les ichtyologistes,  s’il existait toutefois.",B2
"Or il existait, le fait en lui-même n’était plus niable, et, avec ce penchant qui pousse au merveilleux la cervelle humaine, on comprendra l’émotion produite dans le monde entier par cette surnaturelle apparition.",B2
"Quant à la rejeter au rang des fables, il fallait y renoncer.",B2
"En effet, le 20 juillet 1866, le steamer Governor-Higginson, de Calcutta and Burnach steam navigation Company, avait rencontré cette masse mouvante à cinq milles dans l’est des côtes de l’Australie.",B2
"Le capitaine Baker se crut, tout d’abord, en présence d’un écueil inconnu.",B2
"Il se disposait même à en déterminer la situation exacte, quand deux colonnes d’eau, projetées par l’inexplicable objet, s’élancèrent en sifflant à cent cinquante pieds dans l’air.",B2
"Donc, à moins que cet écueil ne fût soumis aux expansions intermittentes d’un geyser, le Governor-Higginson avait affaire bel et bien à",B2
"3 quelque mammifère aquatique, inconnu jusque-là, qui rejetait par ses évents des colonnes d’eau, mélangées d’air et de vapeur.",B2
"Pareil fait fut également observé, le 23 juillet de la même année, dans les mers du Pacifique, par le Cristobal-Colon, de West India and Pacific steam navigation Company.",B2
"Donc, ce cétacé extraordinaire pouvait se transporter d’un endroit à un autre avec une vélocité surprenante, puisque à trois jours d’intervalle le Governor-Higginson et le Cristobal-Colon l’avaient observé en deux points de la carte séparés par une distance de plus de sept cents lieues marines.",B2
