sentence,difficulty
"1 I Le 24 mai 1863, un dimanche, mon oncle, le professeur Lidenbrock, revint précipitamment vers sa petite maison située au numéro 19 de Königstrasse, l’une des plus anciennes rues du vieux quartier de Hambourg.",B1
"La bonne Marthe dut se croire fort en retard, car le dîner commençait à peine à chanter sur le fourneau de la cuisine.",B1
"« Bon, me dis-je, s’il a faim, mon oncle, qui est le plus impatient des hommes, va pousser des cris de détresse.",B1
 Déjà M. Lidenbrock !,B1
"s’écria la bonne Marthe stupéfaite, en entrebâillant la porte de la salle à manger.",B1
" Oui, Marthe ; mais le dîner a le droit de ne point être cuit, car il n’est pas deux heures.",B1
La demie vient à peine de sonner à Saint-Michel.,B1
 Alors pourquoi M. Lidenbrock rentre-t-il ?,B1
 Il nous le dira vraisemblablement.,B1
 Le voilà !,B1
"je me sauve, monsieur Axel, vous lui ferez entendre raison.",B1
» Et la bonne Marthe regagna son laboratoire culinaire.,B1
Je restai seul.,B1
"Mais de faire entendre raison au plus irascible des professeurs, c’est ce que mon caractère un peu indécis ne me permettait pas.",B1
"Aussi je me préparais à regagner prudemment ma petite chambre du haut, quand la porte de la rue cria sur ses gonds ; de grands pieds firent craquer l’escalier de bois, et le maître de la maison, traversant la salle à manger, se précipita aussitôt dans son cabinet de travail.",B1
"Mais, pendant ce rapide passage, il avait jeté dans un coin sa canne à tête de casse-noisettes, sur la table son large chapeau à poils rebroussés, et à son neveu ces paroles retentissantes : « Axel, suis-moi !",B1
» Je n’avais pas eu le temps de bouger que le professeur me criait déjà avec un vif accent d’impatience : « Eh bien !,B1
tu n’es pas encore ici ?,B1
» Je m’élançai dans le cabinet de mon redoutable maître.,B1
"Otto Lidenbrock n’était pas un méchant homme, j’en conviens volontiers ; mais, à moins de changements improbables, il mourra dans la peau d’un terrible original.",B1
"Il était professeur au Johannaeum, et faisait un cours de minéralogie pendant lequel il se mettait régulièrement en colère une fois ou deux.",B1
"Non point qu’il se préoccupât d’avoir des élèves assidus à ses leçons, ni du degré d’attention qu’ils lui accordaient, ni du succès qu’ils pouvaient obtenir par la suite ; ces détails ne l’inquiétaient guère.",B1
"Il professait « subjectivement », suivant une expression de la philosophie allemande, pour lui et non pour les",B1
"C’était un savant égoïste, un puits de science dont la poulie grinçait quand on en voulait tirer quelque chose : en un mot, un avare.",B1
Il y a quelques professeurs de ce genre en Allemagne.,B1
"Mon oncle, malheureusement, ne jouissait pas d’une extrême facilité de prononciation, sinon dans l’intimité, au moins quand il parlait en public, et c’est un défaut regrettable chez un orateur.",B1
"En effet, dans ses démonstrations au Johannaeum, souvent le professeur s’arrêtait court ; il luttait contre un mot récalcitrant qui ne voulait pas glisser entre ses lèvres, un de ces mots qui résistent, se gonflent et finissent par sortir sous la forme peu scientifique d’un juron.",B1
"De là, grande colère.",B1
"Or, il y a en minéralogie bien des dénominations semi-grecques, semi- latines, difficiles à prononcer, de ces rudes appellations qui écorcheraient les lèvres d’un poète.",B1
Je ne veux pas dire du mal de cette science.,B1
Loin de moi.,B1
"Mais lorsqu’on se trouve en présence des cristallisations rhomboédriques, des résines rétinasphaltes, des ghélénites, des fangasites, des molybdates de plomb, des tungstates de manganèse et des titaniates de zircone, il est permis à la langue la plus adroite de fourcher.",B1
"Donc, dans la ville, on connaissait cette pardonnable infirmité de mon oncle, et on en abusait, et on l’attendait aux passages dangereux, et il se mettait en fureur, et l’on riait, ce qui n’est pas de bon goût, même pour des Allemands.",B1
"Et s’il y avait toujours grande affluence d’auditeurs aux cours de Lidenbrock, combien les suivaient assidûment qui venaient surtout pour se dérider aux belles colères du professeur !",B1
"Quoi qu’il en soit, mon oncle, je ne saurais trop le dire, était un véritable savant.",B1
