sentence,difficulty
"1 I Dans lequel Phileas Fogg et Passepartout s’acceptent réciproquement, l’un comme maître, l’autre comme domestique En l’année 1872, la maison portant le numéro 7 de Saville-row, Burlington Gardens,  maison dans laquelle Shéridan mourut en 1814,  était habitée par Phileas Fogg, esq., l’un des membres les plus singuliers et les plus remarqués du Reform-Club de Londres, bien qu’il semblât prendre à tâche de ne rien faire qui pût attirer l’attention.",B1
"À l’un des plus grands orateurs qui honorent l’Angleterre, succédait donc ce Phileas Fogg, personnage énigmatique, dont on ne savait rien, sinon que c’était un fort galant homme et l’un des plus beaux gentlemen de la haute société anglaise.",B1
"On disait qu’il ressemblait à Byron,  par la tête, car il était irréprochable quant aux pieds,  mais un Byron à moustaches et à favoris, un Byron impassible, qui aurait vécu mille ans sans vieillir.",B1
"Anglais, à coup sûr, Phileas Fogg n’était peut-être pas Londonner.",B1
"On ne l’avait jamais vu ni à la Bourse, ni à la Banque, ni dans aucun des comptoirs de la Cité.",B1
Ni les bassins ni les docks de Londres n’avaient jamais reçu un navire ayant pour armateur Phileas Fogg.,B1
Ce gentleman ne figurait dans aucun comité d’administration.,B1
"Son nom n’avait jamais retenti dans un collège d’avocats, ni au Temple, ni à Lincoln’s-inn, ni à Gray’s-inn.",B1
"Jamais il ne plaida ni à la Cour du chancelier, ni au Banc de la Reine, ni à l’Echiquier, ni en Cour ecclésiastique.",B1
"Il n’était ni industriel, ni négociant, ni marchand, ni agriculteur.",B1
"Il ne faisait partie ni de l’Institution royale de la Grande-Bretagne, ni de l’Institution de Londres, ni de l’Institution des Artisans, ni de l’Institution Russell, ni de l’Institution littéraire de l’Ouest, ni de l’Institution du Droit, ni de cette Institution des Arts et des Sciences réunis, qui est placée sous le patronage direct de Sa Gracieuse Majesté.",B1
"Il n’appartenait enfin à aucune des nombreuses sociétés qui pullulent dans la capitale de l’Angleterre, depuis la Société de l’Armonica jusqu’à la Société entomologique, fondée principalement dans le but de détruire les insectes nuisibles.",B1
"Phileas Fogg était membre du Reform-Club, et voilà tout.",B1
